1229,1,ZA
1230,1,ZA
1231,1,ZA
1232,1,ZA
2018,1,ZA
2561,1,EG
2905,1,ZA
3067,1,ZA
3068,1,ZA
3208,1,DZ
3741,1,ZA
4178,1,ZA
4571,1,ZA
5713,1,ZA
5734,1,ZA
6083,1,ZA
6089,1,ZA
6127,1,EG
6149,1,ZA
6180,1,ZA
6187,1,ZA
6351,1,ZA
6529,1,ZA
6560,1,ZA
6713,1,MA
6879,1,EG
6968,1,ZA
7020,1,ZA
7154,1,ZA
7231,1,ZA
7390,1,ZA
7420,1,ZM
7460,1,ZA
7971,1,ZA
7972,1,ZA
8094,1,ZA
8524,1,EG
9129,1,ZA
10247,1,ZA
10262,1,ZA
10331,1,ZA
10393,1,ZA
10474,1,ZA
10505,1,ZA
10540,1,ZA
10575,1,ZA
10798,1,ZA
10803,1,ZA
10898,1,ZA
11125,1,ZA
11157,1,ZA
11259,1,AO
11569,1,ZA
11645,1,ZA
11744,1,ZA
11845,1,ZA
12091,1,ZA
12143,1,TZ
12258,1,ZA
12455,1,KE
12556,1,KE
13224,1,KE
13854,1,ZA
14115,1,ZA
14331,1,ZA
14516,1,ZA
14988,1,BW
15022,1,ZA
15399,1,KE
15475,1,EG
15706,1,SD
15804,1,EG
15825,1,GH
15964,1,CM
16058,1,GA
16214,1,DZ
16284,1,NG
16416,1,ZA
16637,1,ZA
16800,1,ZA
16907,1,KE
17148,1,ZA
17312,1,ZA
17400,1,AO
17652,1,MU
18775,1,ZA
18922,1,ZW
18931,1,ZA
19136,1,ZA
19232,1,ZA
19676,1,MU
19711,1,SZ
19832,1,ZA
19847,1,ZA
20011,1,ZA
20180,1,SC
20294,1,UG
20459,1,NA
20484,1,EG
20858,1,EG
20928,1,EG
21003,1,LY
21242,1,SC
21271,1,ML
21280,1,MU
21391,1,DZ
21739,1,ZA
22354,1,TZ
22355,1,ZA
22386,1,ZA
22572,1,ZA
22690,1,RW
22735,1,NA
22750,1,ZA
23058,1,ZA
23549,1,UG
23889,1,MU
24736,1,EG
24757,1,ET
24788,1,ZA
24835,1,EG
24863,1,EG
24878,1,EG
24987,1,EG
25163,1,NG
25250,1,GM
25362,1,EG
25364,1,EG
25543,1,BF
25568,1,KE
25576,1,EG
25695,1,LS
25726,1,ZA
25793,1,ZA
25818,1,ZA
26106,1,ZA
26130,1,NE
26422,1,ZA
26754,1,ZA
27576,1,ZW
27598,1,ZA
28683,1,BJ
28698,1,ZA
28913,1,EG
29091,1,NG
29338,1,GH
29340,1,GH
29428,1,EG
29495,1,EG
29544,1,MR
29571,1,CI
29614,1,GH
29674,1,GH
29918,1,ZA
29975,1,ZA
30073,1,ZA
30306,1,SZ
30619,1,MZ
30896,1,KE
30980,1,GH
30982,1,TG
30983,1,MA
30984,1,NG
30985,1,ML
30986,1,GH
30987,1,ER
30988,1,NG
30990,1,DJ
30992,1,CM
30993,1,EG
30994,1,KE
30995,1,EG
30996,1,ZA
30997,1,GH
30998,1,NG
30999,1,MU
31065,1,EG
31245,1,TN
31619,1,EG
31810,1,TZ
31856,1,ZW
31960,1,MZ
32017,1,MZ
32279,1,BW
32398,1,SZ
32437,1,ZA
32653,1,ZA
32714,1,ZA
32717,1,AO
32842,1,CD
32860,1,TZ
33567,1,LS
33579,1,ZA
33762,1,ZA
33763,1,NA
33764,1,MU
33765,1,TZ
33766,1,ZA
33767,1,LS
33768,1,ZA
33769,1,ZA
33770,1,KE
33771,1,KE
33772,1,TZ
33773,1,MW
33774,1,DZ
33776,1,NG
33777,1,EG
33778,1,EG
33779,1,DZ
33780,1,GH
33781,1,BW
33782,1,EG
33784,1,ZA
33785,1,EG
33786,1,GH
33788,1,SD
33789,1,EG
33790,1,ZA
33791,1,TZ
36864,1,ML
36865,1,MZ
36866,1,KE
36867,1,SC
36868,1,MU
36870,1,EG
36871,1,ZA
36872,1,NG
36873,1,NG
36874,1,ZA
36875,1,ZA
36876,1,UG
36877,1,ZA
36878,1,BW
36879,1,DZ
36880,1,GA
36881,1,AO
36882,1,MU
36883,1,ZA
36884,1,MA
36885,1,EG
36887,1,NG
36889,1,ZA
36890,1,RW
36891,1,DZ
36892,1,SS
36893,1,EG
36894,1,MU
36895,1,ZA
36897,1,ZA
36898,1,ZA
36900,1,GH
36901,1,UG
36902,1,SC
36903,1,MA
36904,1,KE
36905,1,CM
36906,1,EG
36907,1,AO
36908,1,TZ
36909,1,TZ
36910,1,ZA
36911,1,NG
36912,1,CM
36913,1,MW
36914,1,KE
36915,1,KE
36916,1,ZA
36917,1,AO
36918,1,DZ
36919,1,ZA
36920,1,NG
36921,1,NG
36922,1,NG
36923,1,NG
36925,1,MA
36926,1,KE
36928,1,SL
36929,1,EG
36930,1,TZ
36931,1,ZA
36932,1,NG
36933,1,NG
36934,1,RW
36935,1,EG
36936,1,AO
36937,1,ZA
36938,1,NG
36939,1,KM
36941,1,MA
36942,1,MU
36943,1,ZA
36944,1,ZA
36945,1,MZ
36946,1,CI
36947,1,DZ
36948,1,KE
36951,1,ZA
36952,1,KE
36953,1,ZA
36954,1,NG
36955,1,CM
36956,1,MA
36957,1,NG
36958,1,SC
36959,1,ZM
36960,1,ZA
36961,1,GH
36962,1,ZM
36963,1,BW
36964,1,EG
36965,1,TZ
36967,1,KE
36968,1,ZA
